timestamp,repo,pr_number,session_id,model,input_tokens,cache_creation_input_tokens,cache_read_input_tokens,output_tokens,total_input_like_tokens,total_tokens,cost_usd_estimate
2026-05-13T14:54:49,Adtango-Media/reach-social-front-end,141,c2815930-41c6-4f9c-8e2b-414b450541ff,,2,9730,12760,820,22492,23312,0.05711350000000001
2026-05-13T16:16:56,Adtango-Media/reach-social-front-end,130,ba10585b-11ad-4984-abd2-e0c47f9776cc,,2,6878,12760,699,19640,20339,0.0417565
